국적명,유학(D-2),전문학사(D-2-1),학사유학(D-2-2),석사유학(D-2-3),박사유학(D-2-4),연구유학(D-2-5),교환학생(D-2-6),일-학습연계 유학(D-2,단기유학(D-2-8),교환학생(D-2-F),일반연수(D-4),대학부설어학원연수(D,외국어연수(D-4-7)
남아프리카 공화국,8,0,5,3,0,0,0,0,0,0,7,6,1
가      나,156,0,15,100,38,0,1,2,0,0,18,18,0
가      나,38,0,5,23,9,0,0,1,0,0,6,6,0
카  메  룬,203,1,47,130,22,0,2,1,0,0,36,36,0
카  메  룬,71,0,8,51,11,0,1,0,0,0,14,14,0
에티오피아,213,0,25,92,96,0,0,0,0,0,13,13,0
에티오피아,45,0,15,27,2,0,0,1,0,0,1,0,1
모  로  코,40,0,5,11,5,0,19,0,0,0,7,7,0
모  로  코,59,0,8,17,7,0,27,0,0,0,17,17,0
우  간  다,98,0,13,73,11,0,1,0,0,0,30,30,0
우  간  다,50,0,4,44,2,0,0,0,0,0,13,13,0
케      냐,90,0,25,55,7,0,1,2,0,0,12,12,0
케      냐,53,0,16,31,2,0,4,0,0,0,7,7,0
리  비  아,7,0,0,3,2,0,0,2,0,0,3,3,0
리  비  아,2,0,1,0,1,0,0,0,0,0,1,1,0
라이베리아,6,0,1,4,1,0,0,0,0,0,4,4,0
라이베리아,0,0,0,0,0,0,0,0,0,0,2,2,0
수      단,22,0,3,12,5,0,0,2,0,0,1,1,0
수      단,3,0,0,1,2,0,0,0,0,0,4,4,0
알  제  리,23,0,4,11,6,1,1,0,0,0,2,2,0
알  제  리,18,0,1,12,4,0,1,0,0,0,4,4,0
튀  니  지,17,0,1,10,1,1,4,0,0,0,2,2,0
튀  니  지,19,0,4,6,4,0,1,4,0,0,3,3,0
코트디부아르,23,0,2,17,4,0,0,0,0,0,6,6,0
코트디부아르,2,0,2,0,0,0,0,0,0,0,2,2,0
콩고민주공화국,37,0,12,19,4,0,2,0,0,0,14,14,0
콩고민주공화국,7,0,2,5,0,0,0,0,0,0,7,7,0
르  완  다,68,1,11,47,8,0,1,0,0,0,18,18,0
르  완  다,33,1,10,21,1,0,0,0,0,0,6,6,0
세  네  갈,10,0,1,8,1,0,0,0,0,0,3,3,0
세  네  갈,9,0,1,6,0,0,2,0,0,0,5,5,0
탄 자 니 아,63,0,14,33,15,1,0,0,0,0,17,16,1
탄 자 니 아,21,0,2,16,1,0,0,2,0,0,3,3,0
말      리,0,0,0,0,0,0,0,0,0,0,74,74,0
말      리,1,0,0,0,0,0,1,0,0,0,4,4,0
잠  비  아,14,3,4,6,1,0,0,0,0,0,3,3,0
잠  비  아,12,2,3,7,0,0,0,0,0,0,1,1,0
기      니,0,0,0,0,0,0,0,0,0,0,12,12,0
기      니,0,0,0,0,0,0,0,0,0,0,4,4,0
짐 바 브 웨,25,0,0,21,4,0,0,0,0,0,1,1,0
짐 바 브 웨,14,0,2,11,1,0,0,0,0,0,1,1,0
앙  골  라,14,2,10,2,0,0,0,0,0,0,3,3,0
앙  골  라,4,0,3,1,0,0,0,0,0,0,0,0,0
부  룬  디,15,0,0,11,3,0,1,0,0,0,2,2,0
부  룬  디,8,0,1,7,0,0,0,0,0,0,1,1,0
가      봉,16,0,6,7,3,0,0,0,0,0,7,7,0
가      봉,7,0,4,3,0,0,0,0,0,0,1,1,0
모 리 셔 스,0,0,0,0,0,0,0,0,0,0,0,0,0
모 리 셔 스,2,0,1,0,0,1,0,0,0,0,2,2,0
감  비  아,7,0,2,4,1,0,0,0,0,0,2,2,0
감  비  아,0,0,0,0,0,0,0,0,0,0,0,0,0
콩      고,3,0,1,2,0,0,0,0,0,0,1,1,0
콩      고,0,0,0,0,0,0,0,0,0,0,1,1,0
시에라리온,3,0,0,2,1,0,0,0,0,0,1,1,0
시에라리온,1,0,0,0,1,0,0,0,0,0,0,0,0
부르키나파소,1,0,0,0,0,0,1,0,0,0,4,4,0
부르키나파소,1,0,0,1,0,0,0,0,0,0,2,2,0
말  라  위,11,0,2,8,1,0,0,0,0,0,0,0,0
말  라  위,4,0,1,3,0,0,0,0,0,0,0,0,0
토      고,5,0,0,4,1,0,0,0,0,0,2,2,0
토      고,1,0,0,1,0,0,0,0,0,0,1,1,0
마다가스카르,4,0,1,3,0,0,0,0,0,0,0,0,0
마다가스카르,9,0,2,6,0,0,1,0,0,0,1,1,0
모 잠 비 크,6,0,0,6,0,0,0,0,0,0,2,2,0
모 잠 비 크,5,0,4,1,0,0,0,0,0,0,2,2,0
베      냉,5,0,0,5,0,0,0,0,0,0,0,0,0
베      냉,1,0,0,1,0,0,0,0,0,0,1,1,0
스와질란드,0,0,0,0,0,0,0,0,0,0,0,0,0
스와질란드,1,0,0,1,0,0,0,0,0,0,0,0,0
보 츠 와 나,2,0,0,2,0,0,0,0,0,0,1,1,0
보 츠 와 나,4,0,0,2,1,0,0,1,0,0,2,2,0
남수단공화국,3,0,1,1,1,0,0,0,0,0,6,6,0
남수단공화국,1,0,1,0,0,0,0,0,0,0,0,0,0
코  모  로,0,0,0,0,0,0,0,0,0,0,1,1,0
코  모  로,0,0,0,0,0,0,0,0,0,0,0,0,0
모 리 타 니,4,0,1,3,0,0,0,0,0,0,3,3,0
모 리 타 니,0,0,0,0,0,0,0,0,0,0,0,0,0
소 말 리 아,3,0,0,2,0,0,0,1,0,0,0,0,0
소 말 리 아,2,0,1,1,0,0,0,0,0,0,1,1,0
중앙 아프리카 공화국,5,0,3,2,0,0,0,0,0,0,0,0,0
중앙 아프리카 공화국,1,0,1,0,0,0,0,0,0,0,0,0,0
차      드,3,0,1,1,1,0,0,0,0,0,4,4,0
차      드,0,0,0,0,0,0,0,0,0,0,0,0,0
레  소  토,1,0,0,1,0,0,0,0,0,0,0,0,0
레  소  토,0,0,0,0,0,0,0,0,0,0,0,0,0
에리트레아,1,0,0,1,0,0,0,0,0,0,0,0,0
에리트레아,0,0,0,0,0,0,0,0,0,0,1,1,0
기니비사우,0,0,0,0,0,0,0,0,0,0,1,1,0
기니비사우,0,0,0,0,0,0,0,0,0,0,1,1,0
자  이  르,0,0,0,0,0,0,0,0,0,0,0,0,0
자  이  르,0,0,0,0,0,0,0,0,0,0,0,0,0
니  제  르,0,0,0,0,0,0,0,0,0,0,0,0,0
니  제  르,0,0,0,0,0,0,0,0,0,0,0,0,0
적 도 기 니,1,0,0,1,0,0,0,0,0,0,0,0,0
적 도 기 니,0,0,0,0,0,0,0,0,0,0,0,0,0
나 미 비 아,0,0,0,0,0,0,0,0,0,0,0,0,0
나 미 비 아,0,0,0,0,0,0,0,0,0,0,1,1,0
지  부  티,0,0,0,0,0,0,0,0,0,0,1,1,0
지  부  티,0,0,0,0,0,0,0,0,0,0,0,0,0
상투메 프린시페,0,0,0,0,0,0,0,0,0,0,0,0,0
상투메 프린시페,0,0,0,0,0,0,0,0,0,0,0,0,0
세 이 셸,0,0,0,0,0,0,0,0,0,0,0,0,0
세 이 셸,0,0,0,0,0,0,0,0,0,0,0,0,0
