시도,시군구,성별,총계,거주(F-2),국민배우자(F-2-1),영주(F-5),국민배우자(F-5-2),결혼이민(F-6),국민배우자(F-6-1),자녀양육(F-6-2),혼인단절(F-6-3)
대구광역시,중구,남,19,0,0,2,2,17,17,0,0
대구광역시,중구,여,133,2,2,18,18,113,113,0,0
대전광역시,소계,계,"3,429",160,160,561,561,"2,708","2,611",46,51
대전광역시,소계,남,404,1,0,58,0,345,0,0,0
대전광역시,소계,여,"3,025",159,0,503,0,"2,363",0,0,0
대전광역시,대덕구,계,603,17,17,89,89,497,471,11,15
대전광역시,대덕구,남,42,0,0,8,8,34,34,0,0
대전광역시,대덕구,여,561,17,17,81,81,463,437,11,15
대전광역시,동구,계,688,58,58,95,95,535,522,8,5
대전광역시,동구,남,65,0,0,7,7,58,57,1,0
대전광역시,동구,여,623,58,58,88,88,477,465,7,5
대전광역시,서구,계,886,34,34,144,144,708,680,17,11
대전광역시,서구,남,125,1,1,12,12,112,109,1,2
대전광역시,서구,여,761,33,33,132,132,596,571,16,9
대전광역시,유성구,계,654,13,13,136,136,505,495,2,8
대전광역시,유성구,남,122,0,0,22,22,100,100,0,0
대전광역시,유성구,여,532,13,13,114,114,405,395,2,8
대전광역시,중구,계,598,38,38,97,97,463,443,8,12
대전광역시,중구,남,50,0,0,9,9,41,40,0,1
대전광역시,중구,여,548,38,38,88,88,422,403,8,11
부산광역시,소계,계,"7,041",166,166,"1,176","1,176","5,699","5,519",108,72
부산광역시,소계,남,970,7,0,171,0,792,0,0,0
부산광역시,소계,여,"6,071",159,0,"1,005",0,"4,907",0,0,0
부산광역시,강서구,계,290,5,5,41,41,244,234,8,2
부산광역시,강서구,남,43,1,1,3,3,39,39,0,0
부산광역시,강서구,여,247,4,4,38,38,205,195,8,2
부산광역시,금정구,계,417,9,9,82,82,326,317,6,3
부산광역시,금정구,남,49,0,0,14,14,35,35,0,0
부산광역시,금정구,여,368,9,9,68,68,291,282,6,3
부산광역시,기장군,계,369,3,3,50,50,316,312,1,3
부산광역시,기장군,남,48,0,0,3,3,45,44,0,1
부산광역시,기장군,여,321,3,3,47,47,271,268,1,2
부산광역시,남구,계,508,12,12,88,88,408,398,7,3
부산광역시,남구,남,84,0,0,20,20,64,63,1,0
부산광역시,남구,여,424,12,12,68,68,344,335,6,3
부산광역시,동구,계,256,6,6,67,67,183,174,2,7
부산광역시,동구,남,21,0,0,4,4,17,17,0,0
부산광역시,동구,여,235,6,6,63,63,166,157,2,7
부산광역시,동래구,계,306,8,8,63,63,235,230,2,3
부산광역시,동래구,남,32,0,0,6,6,26,26,0,0
부산광역시,동래구,여,274,8,8,57,57,209,204,2,3
부산광역시,부산진구,계,706,33,33,111,111,562,551,5,6
부산광역시,부산진구,남,74,0,0,14,14,60,58,1,1
부산광역시,부산진구,여,632,33,33,97,97,502,493,4,5
부산광역시,북구,계,482,14,14,60,60,408,401,5,2
부산광역시,북구,남,34,0,0,3,3,31,31,0,0
부산광역시,북구,여,448,14,14,57,57,377,370,5,2
부산광역시,사상구,계,720,17,17,90,90,613,561,37,15
부산광역시,사상구,남,65,0,0,8,8,57,56,1,0
부산광역시,사상구,여,655,17,17,82,82,556,505,36,15
부산광역시,사하구,계,861,10,10,125,125,726,700,14,12
부산광역시,사하구,남,100,1,1,17,17,82,79,1,2
부산광역시,사하구,여,761,9,9,108,108,644,621,13,10
부산광역시,서구,계,253,8,8,45,45,200,194,3,3
부산광역시,서구,남,24,1,1,4,4,19,17,1,1
부산광역시,서구,여,229,7,7,41,41,181,177,2,2
부산광역시,수영구,계,372,9,9,67,67,296,291,4,1
부산광역시,수영구,남,102,0,0,20,20,82,80,2,0
부산광역시,수영구,여,270,9,9,47,47,214,211,2,1
부산광역시,연제구,계,300,8,8,61,61,231,223,5,3
부산광역시,연제구,남,39,0,0,4,4,35,35,0,0
부산광역시,연제구,여,261,8,8,57,57,196,188,5,3
부산광역시,영도구,계,304,5,5,61,61,238,236,1,1
부산광역시,영도구,남,25,1,1,5,5,19,19,0,0
부산광역시,영도구,여,279,4,4,56,56,219,217,1,1
부산광역시,중구,계,134,4,4,25,25,105,101,1,3
부산광역시,중구,남,11,0,0,1,1,10,10,0,0
부산광역시,중구,여,123,4,4,24,24,95,91,1,3
부산광역시,해운대구,계,763,15,15,140,140,608,596,7,5
부산광역시,해운대구,남,219,3,3,45,45,171,168,2,1
부산광역시,해운대구,여,544,12,12,95,95,437,428,5,4
서울특별시,소계,계,"27,473",689,689,"5,596","5,596","21,188","20,435",278,475
서울특별시,소계,남,"7,264",86,0,"1,092",0,"6,086",0,0,0
서울특별시,소계,여,"20,209",603,0,"4,504",0,"15,102",0,0,0
서울특별시,강남구,계,745,13,13,175,175,557,541,9,7
서울특별시,강남구,남,208,4,4,32,32,172,169,3,0
서울특별시,강남구,여,537,9,9,143,143,385,372,6,7
서울특별시,강동구,계,869,44,44,186,186,639,620,4,15
서울특별시,강동구,남,141,4,4,21,21,116,113,1,2
