국적명,성별,전문학사(D-2-1),학사유학(D-2-2),석사유학(D-2-3),박사유학(D-2-4),연구유학(D-2-5),교환학생(D-2-6),일-학습연계 유학(D-2-7),단기유학(D-2-8),대학부설어학원연수(D-4-1),외국어연수(D-4-7)
트리니다드토바고,남,0,0,1,0,0,0,0,0,0,0
트리니다드토바고,여,0,2,1,1,0,0,1,0,1,0
바베이도스,남,0,0,2,0,0,0,0,0,0,0
바베이도스,여,0,0,1,0,0,1,0,0,2,0
벨  리  즈,남,0,0,0,0,0,0,0,0,1,0
벨  리  즈,여,0,0,2,1,0,0,0,0,0,0
수  리  남,남,0,0,0,0,0,0,0,0,0,0
수  리  남,여,0,0,2,0,0,0,0,0,0,0
바  하  마,남,0,0,0,0,0,0,0,0,0,0
바  하  마,여,0,0,3,0,0,0,1,0,3,0
가 이 아 나,남,0,0,1,0,0,0,0,0,0,0
가 이 아 나,여,0,0,2,0,0,0,0,0,0,0
러시아(연방),남,2,47,27,6,2,30,0,0,52,0
러시아(연방),여,15,151,101,17,0,128,14,1,231,0
한국계 러시아인,남,0,0,0,0,0,0,0,0,0,0
한국계 러시아인,여,0,2,0,0,0,0,0,0,0,0
영      국,남,0,6,17,4,2,41,0,0,11,0
영      국,여,0,14,6,1,0,99,1,1,9,0
프  랑  스,남,0,9,29,10,1,325,4,1,23,0
프  랑  스,여,2,29,29,4,0,338,1,0,58,0
독      일,남,0,9,29,5,5,211,3,8,5,0
독      일,여,0,15,21,2,0,266,5,3,14,0
우크라이나,남,0,7,12,10,0,2,0,0,3,0
우크라이나,여,1,13,11,5,0,7,5,0,32,0
이 탈 리 아,남,0,4,5,5,3,13,4,1,8,0
이 탈 리 아,여,0,13,24,2,0,38,4,0,26,0
스  페  인,남,0,4,9,1,3,56,0,0,8,0
스  페  인,여,0,3,9,3,1,69,1,2,21,0
네 덜 란 드,남,0,3,5,2,0,97,2,1,6,0
네 덜 란 드,여,1,7,8,0,0,71,1,1,7,0
노 르 웨 이,남,0,5,4,0,0,20,0,0,2,0
노 르 웨 이,여,0,21,5,0,0,14,0,0,17,0
스  웨  덴,남,0,9,3,0,0,31,1,0,16,0
스  웨  덴,여,0,8,0,0,0,36,1,0,59,0
아 일 랜 드,남,0,0,5,1,0,5,1,0,1,0
아 일 랜 드,여,0,0,0,0,0,5,0,0,0,0
스  위  스,남,0,6,1,0,0,19,0,0,7,0
스  위  스,여,0,2,3,1,0,18,1,0,8,0
폴  란  드,남,1,4,2,8,0,8,0,0,0,0
폴  란  드,여,0,9,14,6,0,26,8,1,10,0
벨  기  에,남,0,3,2,0,0,19,2,0,3,0
벨  기  에,여,0,1,4,0,0,23,3,0,3,0
핀  란  드,남,0,0,2,0,0,28,0,0,0,0
핀  란  드,여,0,18,4,0,0,40,3,0,3,0
덴  마  크,남,0,3,5,0,0,21,1,0,0,0
덴  마  크,여,1,3,5,1,0,22,1,0,3,0
그  리  스,남,0,0,0,0,0,0,0,0,0,0
그  리  스,여,0,0,3,0,0,2,0,0,1,0
오스트리아,남,0,3,1,1,0,14,0,0,0,0
오스트리아,여,0,2,7,1,0,16,1,0,1,0
루 마 니 아,남,0,0,3,1,0,1,0,0,0,0
루 마 니 아,여,0,10,11,6,1,7,7,0,6,0
벨 로 루 시,남,0,1,4,1,0,1,0,0,1,0
벨 로 루 시,여,2,3,6,1,0,5,2,1,8,0
포 르 투 갈,남,0,1,2,0,0,4,1,0,2,0
포 르 투 갈,여,0,5,3,2,0,9,1,0,2,0
헝  가  리,남,0,1,2,1,0,3,1,0,0,0
헝  가  리,여,0,7,9,1,0,5,6,0,6,0
