state,state2,발생건수,death,부상자수,중상자수,경상자수,부상신고자수
경남,창원시(통합),67,72,13,6,7,0
경남,통영시,12,12,2,0,2,0
경남,하동군,14,15,2,1,1,0
경남,함안군,15,17,2,0,2,0
경남,함양군,7,7,8,4,4,0
경남,합천군,12,12,3,2,0,1
경북,경산시,38,39,14,7,5,2
경북,경주시,42,43,19,4,15,0
경북,고령군,5,5,1,1,0,0
경북,구미시,35,36,13,11,2,0
경북,군위군,12,12,10,3,6,1
경북,김천시,22,22,9,2,6,1
경북,문경시,13,13,10,6,4,0
경북,봉화군,8,8,5,5,0,0
경북,상주시,32,36,4,2,2,0
경북,성주군,15,15,5,3,2,0
경북,안동시,32,33,14,8,6,0
경북,영덕군,10,11,8,2,6,0
경북,영양군,3,3,0,0,0,0
경북,영주시,11,11,3,1,2,0
경북,영천시,22,24,12,10,2,0
경북,예천군,11,11,5,5,0,0
경북,울릉군,1,1,0,0,0,0
경북,울진군,12,12,4,1,2,1
경북,의성군,16,16,3,3,0,0
경북,청도군,17,18,7,0,7,0
경북,청송군,6,6,1,1,0,0
경북,칠곡군,18,18,8,6,1,1
경북,포항시,31,32,16,6,10,0
광주,광산구,32,34,12,11,1,0
광주,남구,15,15,5,0,5,0
광주,동구,12,12,19,10,9,0
광주,북구,33,34,19,8,11,0
광주,서구,25,25,14,5,9,0
대구,남구,10,10,1,0,1,0
대구,달서구,20,20,8,6,2,0
대구,달성군,28,30,19,10,7,2
대구,동구,22,22,4,2,2,0
대구,북구,25,25,16,6,9,1
대구,서구,14,14,1,0,1,0
대구,수성구,21,21,3,1,2,0
대구,중구,6,6,0,0,0,0
대전,대덕구,18,18,11,3,4,4
대전,동구,25,25,2,1,1,0
대전,서구,20,20,15,4,11,0
대전,유성구,10,10,10,3,7,0
대전,중구,11,13,1,1,0,0
대전,합계,84,86,39,12,23,4
부산,강서구,15,16,6,4,0,2
부산,금정구,8,8,5,2,3,0
부산,기장군,15,16,8,4,3,1
부산,남구,4,4,1,1,0,0
부산,동구,6,6,0,0,0,0
부산,동래구,8,8,4,2,2,0
부산,북구,17,17,1,0,1,0
부산,사상구,20,20,7,5,2,0
부산,사하구,14,14,3,2,1,0
부산,서구,6,6,0,0,0,0
부산,수영구,7,7,4,3,1,0
부산,연제구,5,5,2,2,0,0
부산,영도구,4,4,4,3,1,0
부산,중구,4,4,3,1,2,0
부산,진구,20,20,4,2,0,2
부산,해운대구,8,9,8,5,3,0
서울,강남구,19,19,9,4,4,1
서울,강동구,19,19,7,2,5,0
서울,강북구,9,9,2,2,0,0
서울,강서구,12,12,0,0,0,0
서울,관악구,11,11,1,1,0,0
서울,광진구,15,16,2,1,1,0
서울,구로구,12,12,3,1,2,0
서울,금천구,6,6,8,2,6,0
서울,노원구,11,11,4,2,2,0
서울,도봉구,9,9,6,3,3,0
서울,동대문구,24,25,3,1,2,0
서울,동작구,20,20,6,2,3,1
서울,마포구,8,8,0,0,0,0
서울,서대문구,8,8,6,3,2,1
서울,서초구,19,21,18,5,12,1
서울,성동구,14,15,1,0,1,0
서울,성북구,17,17,1,1,0,0
서울,송파구,22,23,11,3,7,1
서울,양천구,13,13,3,2,1,0
서울,영등포구,21,22,6,6,0,0
서울,용산구,12,12,7,2,2,3
서울,은평구,11,12,2,1,1,0
서울,종로구,13,13,6,2,4,0
서울,중구,4,4,5,2,3,0
서울,중랑구,6,6,1,1,0,0
세종,세종,18,18,8,2,5,1
울산,남구,16,16,32,11,19,2
울산,동구,9,9,0,0,0,0
울산,북구,5,5,7,2,4,1
울산,울주군,26,26,9,3,4,2
울산,중구,8,8,0,0,0,0
인천,강화군,11,11,7,4,3,0
인천,계양구,7,7,3,1,1,1
인천,남구,15,15,3,0,3,0
인천,남동구,21,21,6,2,2,2
인천,동구,1,1,0,0,0,0
인천,부평구,11,12,2,2,0,0
인천,서구,20,21,8,8,0,0
인천,연수구,4,4,0,0,0,0
인천,옹진군,5,5,2,0,1,1
인천,중구,8,8,3,3,0,0
전남,강진군,10,11,6,3,3,0
전남,고흥군,16,16,2,1,1,0
전남,곡성군,14,14,3,2,1,0
전남,광양시,10,10,5,3,2,0
전남,구례군,6,6,13,7,6,0
전남,나주시,25,26,11,2,5,4
전남,담양군,18,19,3,2,1,0
전남,목포시,22,23,1,1,0,0
전남,무안군,25,28,17,10,7,0
전남,보성군,23,24,12,4,8,0
전남,순천시,27,27,6,4,2,0
전남,신안군,8,8,18,2,16,0
전남,여수시,44,48,20,6,14,0
전남,영광군,12,12,12,10,2,0
전남,영암군,19,19,10,6,4,0
전남,완도군,8,9,3,2,1,0
전남,장성군,11,12,9,3,6,0
전남,장흥군,11,11,3,3,0,0
전남,진도군,16,16,4,3,1,0
전남,함평군,12,13,16,10,6,0
전남,해남군,20,22,16,12,4,0
전남,화순군,13,13,8,5,3,0
전북,고창군,16,17,8,6,2,0
전북,군산시,30,31,17,5,12,0
전북,김제시,24,24,15,6,8,1
전북,남원시,25,25,9,3,6,0
